"ANIMAL_TYPE","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","HOUSE_NUMBER","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBLEMCODE","REQUESTID","SRX","SRY","STATUS","STREET","WARD"
"Cat","","2014-08-20 16:27:00.0","2014-08-26 16:27:51.413","2014-08-20 09:18:57.507","1200","","Animal Bite","2014-08-27 00:00:00.0","Animal Bite","644576","","","CLOSED","MACKLIND","17"
"Cat","","2014-08-21 11:57:35.0","2014-09-29 11:57:52.09","2014-08-21 09:31:07.763","2100","","Animal Bite","2014-08-28 00:00:00.0","Animal Bite","644987","","","CLOSED","MACKLIND","17"
"Cat","","2014-08-25 12:32:40.0","2014-10-20 12:32:50.497","2014-08-25 08:40:19.03","4500","39","Animal Bite","2014-09-01 00:00:00.0","Animal Bite","645997","","","CLOSED","CHOUTEAU AVE","09"
"Dog","","2014-08-27 12:36:16.0","2014-10-20 12:36:33.23","2014-08-27 09:23:00.62","2300","","Animal Bite","2014-09-03 00:00:00.0","Animal Bite","647012","","","CLOSED","PINE","06"
"Dog","","2014-09-08 10:43:24.0","2015-02-04 10:44:06.637","2014-09-08 09:09:18.0","400","35","Animal Bite","2014-09-15 00:00:00.0","Animal Bite","650933","","","CLOSED","WASHINGTON AVE","08"
"Dog","","2014-09-09 10:09:52.0","2014-10-16 10:10:02.427","2014-09-09 15:38:15.41","4200","","Animal Bite","2014-09-16 00:00:00.0","Animal Bite","651777","","","CLOSED","WEST GARFIELD","04"
"Dog","","2014-09-12 10:51:21.0","2015-02-04 10:52:26.36","2014-09-12 10:50:44.997","4100","16","Animal Bite","2014-09-19 00:00:00.0","Animal Bite","653013","","","CLOSED","MINNESOTA AVE","03"
"Dog","","2014-09-18 12:14:09.0","2014-09-29 12:14:24.73","2014-09-18 13:11:13.0","8300","02","Animal Bite","2014-09-25 00:00:00.0","Animal Bite","655235","","","CLOSED","MINNESOTA AVE","01"
"Dog","","2014-09-19 10:53:27.0","2015-02-04 10:53:39.607","2014-09-19 09:09:38.4","5600","","Animal Bite","2014-09-26 00:00:00.0","Animal Bite","655505","","","CLOSED","PERSHING","26"
"Dog","","2014-09-23 13:22:24.0","2014-10-14 13:24:33.983","2014-09-22 10:39:01.0","3800","15","Animal Bite","2014-09-29 00:00:00.0","Animal Bite","656261","","","CLOSED","JUNIATA","06"
"Dog","","2014-09-23 10:28:41.0","2014-10-17 10:28:58.24","2014-09-23 10:46:45.633","5600","","Animal Bite","2014-09-30 00:00:00.0","Animal Bite","656724","","","CLOSED","LANSDOWNE","16"
"Dog","","2014-09-23 11:38:10.0","2014-10-17 11:38:23.017","2014-09-23 10:50:27.0","","32","Animal Bite","2014-09-30 00:00:00.0","Animal Bite","656728","-10043147.16160800","4666619.79596350","CLOSED","LAFAYETTE AVE & MISSOURI AVE","08"
"Dog","","2014-09-25 10:55:28.0","2015-02-04 10:55:40.43","2014-09-25 10:13:53.487","4100","56","Animal Bite","2014-10-02 00:00:00.0","Animal Bite","657602","","","CLOSED","LABADIE AVE","12"
"Dog","","2014-09-26 11:41:01.0","2014-10-17 11:41:35.107","2014-09-26 10:00:37.0","5000","","Animal Bite","2014-10-03 00:00:00.0","Animal Bite","658007","","","CLOSED","THRUSH","13"
"Dog","","2018-12-20 00:00:00.0","2019-04-11 07:42:00.27","2018-12-20 13:04:40.0","","56","Animal Bite","2018-12-27 00:00:00.0","Animal Bite","1171134","-10045571.78092320","4674357.93055410","CLOSED","ASHLAND AVE & N TAYLOR AVE","12"
"Dog","","2019-05-06 16:34:42.35","2019-05-06 16:34:42.35","2018-12-28 12:30:57.0","5600","14","Animal Bite","2019-01-04 00:00:00.0","Animal Bite","1172804","","","CLOSED","POTOMAC ST","05"
"Dog","","2022-05-03 16:53:59.253","2022-05-03 16:53:59.253","2019-01-11 16:30:58.0","5900","48","Animal Bite","2019-01-18 00:00:00.0","Animal Bite","1176526","","","CLOSED","BARTMER AVE","10"
"Cat","","2019-01-17 12:00:00.0","2019-04-10 13:36:56.493","2019-01-16 15:10:51.0","3400","30","Animal Bite","2019-01-23 00:00:00.0","Animal Bite","1177645","","","CLOSED","TENNESSEE AVE","07"
"Dog","","2020-06-10 12:22:12.293","2020-06-10 12:22:12.293","2019-01-23 11:36:36.0","5100","52","Animal Bite","2019-01-30 00:00:00.0","Animal Bite","1179122","","","CLOSED","ST LOUIS AVE","12"
"Dog","","2020-04-03 11:48:19.69","2020-04-03 11:48:19.69","2019-01-28 12:58:00.0","2700","21","Animal Bite","2019-02-04 00:00:00.0","Animal Bite","1180644","","","CLOSED","S 9TH ST","08"
"Cat","2022-05-03 16:54:38.0","","","2019-02-04 08:50:03.0","1200","41","Animal Bite","2019-02-11 00:00:00.0","Animal Bite","1182433","","","CANCEL","MACKLIND AVE","04"
"Dog","","2020-05-15 14:45:12.83","2020-05-15 14:45:12.83","2019-02-20 08:14:44.0","8800","74","Animal Bite","2019-02-27 00:00:00.0","Animal Bite","1187629","","","CLOSED","N BROADWAY","13"
"Dog","2022-05-03 16:54:38.0","","","2019-02-25 08:42:11.0","1200","42","Animal Bite","2019-03-04 00:00:00.0","Animal Bite","1189381","","","CANCEL","LOUISVILLE AVE","04"
"Dog","","2020-04-03 15:36:11.23","2020-04-03 15:36:11.23","2019-02-25 15:44:57.0","6200","08","Animal Bite","2019-03-04 00:00:00.0","Animal Bite","1189682","","","CLOSED","ITASKA ST","02"
"Dog","","2019-03-04 06:43:00.0","2019-07-25 06:47:06.507","2019-03-01 10:14:02.0","4000","69","Animal Bite","2019-03-08 00:00:00.0","Animal Bite","1191249","","","CLOSED","DRYDEN AVE","11"
"Dog","","2019-03-06 00:00:00.0","2019-05-31 10:50:43.0","2019-03-05 15:28:59.0","3100","25","Animal Bite","2019-03-12 00:00:00.0","Animal Bite","1192335","","","CLOSED","ARSENAL ST","07"
"Dog","","2019-03-20 07:53:00.0","2019-07-24 07:56:18.337","2019-03-12 12:18:18.0","","73","Animal Bite","2019-03-19 00:00:00.0","Animal Bite","1194575","-10046576.06315580","4681173.11438790","CLOSED","TRAFFORD LN & SWITZER AVE","13"
"Dog","2022-05-03 16:54:38.0","","","2019-03-18 14:02:15.0","6200","11","Animal Bite","2019-03-25 00:00:00.0","Animal Bite","1196937","","","CANCEL","COLUMBIA AVE","04"
"Dog","","2020-03-26 12:36:41.53","2020-03-26 12:36:41.53","2019-03-18 16:59:00.0","4100","38","Animal Bite","2019-03-25 00:00:00.0","Animal Bite","1197070","","","CLOSED","LINDELL BLVD","09"
"Dog","","2019-03-20 12:00:00.0","2019-05-02 17:30:38.113","2019-03-19 15:04:45.0","6300","76","Animal Bite","2019-03-26 00:00:00.0","Animal Bite","1197530","","","CLOSED","SHERRY AVE","13"
"Dog","","2019-03-20 00:59:00.0","2019-05-31 11:02:52.75","2019-03-20 08:44:51.0","1000","42","Animal Bite","2019-03-27 00:00:00.0","Animal Bite","1197746","","","CLOSED","CHILDRESS AVE","04"
"Dog","","2019-03-25 12:00:00.0","2019-05-02 17:27:48.987","2019-03-21 08:45:54.0","800","74","Animal Bite","2019-03-28 00:00:00.0","Animal Bite","1198185","","","CLOSED","CANAAN AVE","13"
"Dog","","2019-03-28 12:00:00.0","2019-05-02 17:17:08.527","2019-03-25 12:46:06.0","1800","21","Animal Bite","2019-04-01 00:00:00.0","Animal Bite","1199470","","","CLOSED","S 9TH ST","08"
"Dog","","2020-04-16 13:23:09.44","2020-04-16 13:23:09.44","2019-03-27 09:10:53.0","4300","16","Animal Bite","2019-04-03 00:00:00.0","Animal Bite","1200185","","","CLOSED","DEWEY AVE","03"
"Dog","","2019-04-17 00:00:00.0","2019-05-16 09:55:15.723","2019-03-29 16:04:11.0","3800","03","Animal Bite","2019-04-05 00:00:00.0","Animal Bite","1201544","","","CLOSED","FILLMORE ST","01"
"Dog","","2019-04-03 00:00:00.0","2019-05-31 10:39:56.727","2019-04-01 09:51:42.0","1200","32","Animal Bite","2019-04-08 00:00:00.0","Animal Bite","1201889","","","CLOSED","S JEFFERSON AVE","08"
"Cat","","2019-04-03 00:00:00.0","2019-05-31 10:19:26.98","2019-04-02 09:10:52.0","3800","77","Animal Bite","2019-04-09 00:00:00.0","Animal Bite","1202327","","","CLOSED","PAGE BLVD","11"
"Dog","","2019-04-11 00:00:00.0","2019-05-02 07:15:50.507","2019-04-10 11:16:26.0","4500","39","Animal Bite","2019-04-17 00:00:00.0","Animal Bite","1205605","","","CLOSED","WICHITA AVE","09"
"Dog","","2020-04-16 13:24:53.457","2020-04-16 13:24:53.457","2019-04-15 12:52:12.0","3700","16","Animal Bite","2019-04-22 00:00:00.0","Animal Bite","1207547","","","CLOSED","NEOSHO ST","03"
"Dog","","2019-04-27 12:00:00.0","2019-05-31 16:12:12.52","2019-04-17 09:09:00.0","1200","41","Animal Bite","2019-04-24 00:00:00.0","Animal Bite","1208539","","","CLOSED","MACKLIND AVE","04"
"Dog","","2014-10-01 16:26:26.0","2014-10-16 16:26:36.997","2014-10-01 16:35:26.0","","69","Animal Bite","2014-10-08 00:00:00.0","Animal Bite","659834","-10043333.54670430","4670986.86903890","CLOSED","MARGARETTA & NEWSTEAD","11"
"Dog","","2014-10-17 08:13:24.79","2014-10-17 08:13:45.25","2014-10-06 14:43:25.677","3000","31","Animal Bite","2014-10-13 00:00:00.0","Animal Bite","661281","","","CLOSED","ST VINCENT AVE","07"
"Dog","","2014-10-09 11:01:34.0","2015-02-04 11:01:46.357","2014-10-09 09:24:45.0","800","35","Animal Bite","2014-10-16 00:00:00.0","Animal Bite","662392","","","CLOSED","WASHINGTON AVE","14"
"Dog","","2014-10-13 11:03:43.0","2015-02-04 11:04:03.613","2014-10-13 14:58:21.083","1600","29","Animal Bite","2014-10-20 00:00:00.0","Animal Bite","663691","","","CLOSED","S GRAND BLVD","07"
"Cat","","2014-10-15 11:05:00.0","2015-02-04 11:05:12.993","2014-10-15 11:01:03.0","4500","17","Animal Bite","2014-10-22 00:00:00.0","Animal Bite","664227","","","CLOSED","PENNSYLVANIA","03"
"Dog","","2014-11-17 12:30:35.653","2014-11-17 12:30:56.46","2014-10-16 16:53:12.42","2900","","Animal Bite","2014-10-23 00:00:00.0","Animal Bite","664858","","","CLOSED","MILTON","07"
"Dog","","2014-10-17 12:37:16.0","2014-10-27 12:37:33.893","2014-10-17 09:25:09.967","4600","","Animal Bite","2014-10-24 00:00:00.0","Animal Bite","664982","","","CLOSED","NEWPORT","14"
"Dog","","2014-10-17 15:37:24.0","2014-10-30 15:37:40.727","2014-10-17 13:09:41.0","300","38","Animal Bite","2014-10-24 00:00:00.0","Animal Bite","665157","","","CLOSED","N NEWSTEAD AVE","09"
"Dog","","2014-10-30 14:10:50.353","2014-10-30 14:10:58.553","2014-10-20 10:44:48.093","4200","68","Animal Bite","2014-10-27 00:00:00.0","Animal Bite","665529","","","CLOSED","LEE AVE","11"
"Dog","","2014-11-17 12:50:05.817","2014-11-17 12:50:19.447","2014-10-23 09:01:15.077","4800","04","Animal Bite","2014-10-30 00:00:00.0","Animal Bite","666664","","","CLOSED","ALLEMANIA ST","02"
"Dog","","2014-10-27 12:56:14.0","2014-10-31 12:57:06.807","2014-10-27 12:43:14.52","1400","","Animal Bite","2014-11-03 00:00:00.0","Animal Bite","667716","","","CLOSED","MCCAUSLAND AVE","04"
"Dog","","2014-11-19 09:15:21.067","2014-11-19 09:15:34.317","2014-10-27 13:04:04.923","1400","43","Animal Bite","2014-11-03 00:00:00.0","Animal Bite","667735","","","CLOSED","MCCAUSLAND AVE","04"
"Dog","","2014-10-31 12:40:14.75","2014-10-31 12:40:22.73","2014-10-30 14:57:29.373","4600","","Animal Bite","2014-11-06 00:00:00.0","Animal Bite","669091","","","CLOSED","CHIPPEWA","15"
"Dog","","2014-11-13 09:35:00.0","2014-11-21 09:35:47.0","2014-11-04 10:13:23.49","3400","30","Animal Bite","2014-11-11 00:00:00.0","Animal Bite","670150","","","CLOSED","VIRGINIA AVE","07"
"Dog","","2014-11-17 12:47:24.137","2014-11-17 12:47:35.63","2014-11-04 11:22:03.03","4400","","Animal Bite","2014-11-11 00:00:00.0","Animal Bite","670188","","","CLOSED","BESSIE","21"
"Cat","","2014-11-17 12:29:53.343","2014-11-17 12:30:08.73","2014-11-04 15:33:57.673","6000","","Animal Bite","2014-11-11 00:00:00.0","Animal Bite","670317","","","CLOSED","MC PHERSON AVE","28"
"Dog","","2014-11-11 13:27:45.0","2015-01-28 13:28:07.853","2014-11-10 09:35:03.903","5400","13","Animal Bite","2014-11-17 00:00:00.0","Animal Bite","671582","","","CLOSED","MAGNOLIA AVE","05"
"Dog","","2014-11-19 09:33:30.003","2014-11-19 09:33:46.46","2014-11-10 11:23:23.567","5600","","Animal Bite","2014-11-17 00:00:00.0","Animal Bite","671668","","","CLOSED","PAMPLIN","27"
"Dog","","2014-11-17 10:48:30.727","2014-11-17 10:48:36.77","2014-11-10 16:36:28.523","8200","04","Animal Bite","2014-11-17 00:00:00.0","Animal Bite","671896","","","CLOSED","WADDELL AVE","01"
"Dog","","2014-11-13 11:10:38.0","2015-02-04 11:10:49.323","2014-11-13 08:43:23.15","3200","","Animal Bite","2014-11-20 00:00:00.0","Animal Bite","672436","","","CLOSED","NORTH DAKOTA","25"
"Cat","","2014-11-17 11:12:04.0","2015-02-04 11:12:10.98","2014-11-17 13:49:53.687","400","46","Animal Bite","2014-11-24 00:00:00.0","Animal Bite","673662","","","CLOSED","N SKINKER BLVD","10"
"Dog","","2014-11-26 09:49:22.0","2014-12-10 09:49:47.65","2014-11-20 15:10:25.92","2800","","Animal Bite","2014-11-27 00:00:00.0","Animal Bite","674749","","","CLOSED","DALTON","10"
"Dog","","2014-11-24 11:13:10.0","2015-02-04 11:13:22.573","2014-11-24 14:30:22.0","7100","09","Animal Bite","2014-12-01 00:00:00.0","Animal Bite","675613","","","CLOSED","WINONA AVE","04"
"Dog","","2014-11-25 00:00:00.0","2014-12-12 11:03:51.0","2014-11-25 11:24:47.12","3200","","Animal Bite","2014-12-02 00:00:00.0","Animal Bite","675811","","","CLOSED","KEOKUK","20"
"Dog","","2015-01-21 16:07:32.5","2015-01-21 16:07:46.9","2014-12-23 08:21:27.1","2700","","Animal Bite","2014-12-30 00:00:00.0","Animal Bite","682382","","","CLOSED","SHENANDOAH","07"
"Dog","","2015-01-07 12:00:26.353","2015-01-07 12:00:54.763","2014-12-29 15:05:58.143","4100","","Animal Bite","2015-01-05 00:00:00.0","Animal Bite","683316","","","CLOSED","MINNESOTA","20"
"Dog","","2015-01-07 15:49:18.277","2015-01-07 15:49:38.933","2014-12-31 09:01:42.317","3900","","Animal Bite","2015-01-07 00:00:00.0","Animal Bite","683780","","","CLOSED","PAGE BLVD","04"
"Dog","2022-05-03 16:54:38.0","","","2019-04-22 08:56:56.0","","25","Animal Bite","2019-04-29 00:00:00.0","Animal Bite","1210622","-10045726.51142920","4664939.68448840","CANCEL","ARSENAL ST & S GRAND AVE","06"
"Dog","","2019-04-23 12:00:00.0","2019-04-30 16:11:33.84","2019-04-22 09:16:31.0","5300","40","Animal Bite","2019-04-29 00:00:00.0","Animal Bite","1210642","","","CLOSED","MANCHESTER AVE","09"
"Dog","","2019-04-29 12:01:00.0","2019-06-04 13:26:00.953","2019-04-26 16:15:07.0","3400","25","Animal Bite","2019-05-03 00:00:00.0","Animal Bite","1213040","","","CLOSED","MAGNOLIA AVE","07"
"Dog","","2019-04-29 12:00:00.0","2019-06-04 13:27:30.277","2019-04-29 10:22:12.0","2600","60","Animal Bite","2019-05-06 00:00:00.0","Animal Bite","1213432","","","CLOSED","SULLIVAN AVE","14"
"Dog","","2019-05-02 12:00:00.0","2019-06-04 13:47:57.24","2019-04-30 16:05:07.0","5600","82","Animal Bite","2019-05-07 00:00:00.0","Animal Bite","1214262","","","CLOSED","CLAYTON AVE","10"
"Cat","","2019-05-14 00:00:00.0","2019-06-05 09:32:54.777","2019-05-01 09:55:25.0","5400","05","Animal Bite","2019-05-08 00:00:00.0","Animal Bite","1214481","","","CLOSED","CHRISTY AVE","02"
"Dog","","2019-05-14 08:56:23.653","2019-05-14 08:56:23.653","2019-05-01 16:46:46.0","5900","73","Animal Bite","2019-05-08 00:00:00.0","Animal Bite","1214850","","","CLOSED","PAMPLIN AVE","13"
"Dog","","2019-05-30 12:00:00.0","2019-06-24 15:37:46.02","2019-05-07 12:27:23.0","3100","30","Animal Bite","2019-05-14 00:00:00.0","Animal Bite","1216892","","","CLOSED","CALIFORNIA AVE","07"
"Dog","","2022-04-12 09:09:07.523","2022-04-12 09:09:07.523","2019-05-09 09:50:04.0","5000","71","Animal Bite","2019-05-16 00:00:00.0","Animal Bite","1217802","","","CLOSED","QUEENS AVE","12"
"Dog","","2019-05-16 12:00:00.0","2019-08-01 15:36:28.953","2019-05-16 12:25:51.0","1100","74","Animal Bite","2019-05-23 00:00:00.0","Animal Bite","1220705","","","CLOSED","HORNSBY AVE","13"
"Dog","","2019-06-05 09:28:41.9","2019-06-05 09:28:41.9","2019-05-20 10:40:59.0","","39","Animal Bite","2019-05-27 00:00:00.0","Animal Bite","1221911","-10047464.97707870","4668800.86774930","CLOSED","S NEWSTEAD AVE & CHOUTEAU AVE","09"
"Dog","2022-05-03 16:54:38.0","","","2019-05-20 11:03:16.0","5200","06","Animal Bite","2019-05-27 00:00:00.0","Animal Bite","1221937","","","CANCEL","ROBERT AVE","02"
"Dog","","2019-05-29 12:00:00.0","2019-06-05 15:02:33.847","2019-05-22 10:04:40.0","5600","03","Animal Bite","2019-05-29 00:00:00.0","Animal Bite","1223187","","","CLOSED","DEWEY AVE","01"
"Dog","","2019-06-14 10:46:51.967","2019-06-14 10:46:51.967","2019-05-31 14:21:02.0","4100","27","Animal Bite","2019-06-07 00:00:00.0","Animal Bite","1227296","","","CLOSED","FLAD AVE","06"
"Dog","","2019-06-19 09:29:56.76","2019-06-19 09:29:56.76","2019-06-04 08:42:24.0","5600","13","Animal Bite","2019-06-11 00:00:00.0","Animal Bite","1228278","","","CLOSED","N MAGNOLIA AVE","05"
"Dog","","2019-06-14 00:00:00.0","2019-06-20 11:09:04.657","2019-06-11 15:59:50.0","5100","51","Animal Bite","2019-06-18 00:00:00.0","Animal Bite","1231488","","","CLOSED","MINERVA AVE","10"
"Dog","","2019-06-19 00:00:00.0","2019-06-25 10:42:51.623","2019-06-13 16:26:19.0","3800","04","Animal Bite","2019-06-20 00:00:00.0","Animal Bite","1232574","","","CLOSED","GERMANIA ST","01"
"Cat","","2019-06-14 12:00:00.0","2019-06-28 15:14:33.267","2019-06-14 11:51:13.0","1600","29","Animal Bite","2019-06-21 00:00:00.0","Animal Bite","1232871","","","CLOSED","S GRAND AVE","07"
"Dog","","2019-07-03 11:59:42.357","2019-07-03 11:59:42.357","2019-06-17 09:01:59.0","2800","31","Animal Bite","2019-06-24 00:00:00.0","Animal Bite","1233359","","","CLOSED","PARK AVE","07"
"Dog","","2019-07-15 09:54:14.953","2019-07-15 09:54:14.953","2019-06-17 12:26:34.0","5900","05","Animal Bite","2019-06-24 00:00:00.0","Animal Bite","1233555","","","CLOSED","WANDA AVE","01"
"Dog","2022-05-03 16:54:38.0","","","2019-06-19 14:35:21.0","1600","29","Animal Bite","2019-06-26 00:00:00.0","Animal Bite","1234772","","","CANCEL","S GRAND AVE","07"
"Dog","","2019-08-29 09:13:29.933","2019-08-29 09:13:29.933","2019-06-21 13:35:54.0","5300","40","Animal Bite","2019-06-28 00:00:00.0","Animal Bite","1235770","","","CLOSED","MANCHESTER AVE","09"
"Dog","2022-05-03 16:54:38.0","","","2019-06-26 08:23:43.0","5100","12","Animal Bite","2019-07-03 00:00:00.0","Animal Bite","1237324","","","CANCEL","PATTISON AVE","05"
"Dog","","2019-07-11 00:00:00.0","2019-08-29 09:22:49.617","2019-07-03 08:45:12.0","1700","32","Animal Bite","2019-07-10 00:00:00.0","Animal Bite","1240261","","","CLOSED","NICHOLSON PL","08"
"Cat","","2019-07-09 15:27:52.063","2019-07-09 15:27:52.063","2019-07-08 12:21:36.0","4900","38","Animal Bite","2019-07-15 00:00:00.0","Animal Bite","1241434","","","CLOSED","LACLEDE AVE","09"
"Dog","2022-05-03 16:54:38.0","","","2019-07-10 08:36:35.0","3400","16","Animal Bite","2019-07-17 00:00:00.0","Animal Bite","1242446","","","CANCEL","ITASKA DR","03"
"Dog","","2013-11-08 14:35:30.643","2013-11-08 14:35:30.643","2013-10-16 16:35:00.487","400","","Animal Bite","2013-10-23 00:00:00.0","Animal Bite","540830","","","CLOSED","ROBERT","11"
"Dog","","2013-11-08 16:11:33.0","2013-11-08 16:11:33.053","2013-10-18 15:05:40.0","3200","16","Animal Bite","2013-10-25 00:00:00.0","Animal Bite","541598","","","CLOSED","N DAKOTA ST","03"
"Cat","","2013-11-08 14:06:53.86","2013-11-08 14:06:53.86","2013-10-21 09:11:35.147","6400","42","Animal Bite","2013-10-28 00:00:00.0","Animal Bite","541774","","","CLOSED","WEST PARK AVE","04"
"Cat","","2013-11-06 13:47:01.25","2013-11-06 13:47:01.25","2013-10-22 10:10:38.023","3400","","Animal Bite","2013-10-29 00:00:00.0","Animal Bite","542201","","","CLOSED","IOWA","20"
"Dog","","2013-11-19 16:38:27.287","2013-11-19 16:38:27.287","2013-11-04 16:19:31.0","3400","30","Animal Bite","2013-11-12 00:00:00.0","Animal Bite","545912","","","CLOSED","VIRGINIA","07"
"Dog","","2013-11-20 14:16:28.813","2013-11-20 14:16:28.813","2013-11-12 08:33:55.797","4500","68","Animal Bite","2013-11-19 00:00:00.0","Animal Bite","547655","","","CLOSED","HOLLY AVE","11"
"Dog","","2013-12-17 13:27:37.263","2013-12-17 13:27:37.263","2013-11-25 08:10:00.0","4300","15","Animal Bite","2013-12-04 00:00:00.0","Animal Bite","551855","","","CLOSED","ARSENAL ST","06"
"Dog","","2013-12-19 10:35:28.867","2013-12-19 10:35:28.867","2013-12-12 14:04:59.737","600","38","Animal Bite","2013-12-19 00:00:00.0","Animal Bite","555756","","","CLOSED","N KINGSHIGHWAY BLVD","09"
"Dog","","2014-01-08 09:32:25.417","2014-01-08 09:32:25.417","2013-12-16 15:52:06.62","1400","","Animal Bite","2013-12-23 00:00:00.0","Animal Bite","556329","","","CLOSED","WRIGHT","03"
"Dog","","2014-01-07 15:50:24.52","2014-01-07 15:50:24.52","2013-12-24 11:03:29.66","5700","","Animal Bite","2014-01-01 00:00:00.0","Animal Bite","558183","","","CLOSED","TERRY","22"
"Dog","","2014-01-16 09:57:22.84","2014-01-16 09:57:22.84","2014-01-08 09:25:31.917","3800","","Animal Bite","2014-01-15 00:00:00.0","Animal Bite","560955","","","CLOSED","CHIPPEWA","25"
"Dog","","2014-03-07 00:00:00.0","2014-03-11 14:58:39.87","2014-01-09 08:45:22.233","3200","14","Animal Bite","2014-01-16 00:00:00.0","Animal Bite","561483","","","CLOSED","REGAL PL","05"
"Dog","","2014-01-16 00:00:00.0","2014-02-13 09:54:26.163","2014-01-09 15:23:44.437","1200","74","Animal Bite","2014-01-16 00:00:00.0","Animal Bite","561774","","","CLOSED","SELLS AVE","12"
"Dog","","2014-01-15 00:00:00.0","2014-01-23 14:24:30.507","2014-01-10 09:21:42.133","5000","05","Animal Bite","2014-01-17 00:00:00.0","Animal Bite","563447","","","CLOSED","ELENORE AVE","02"
"Dog","","2014-01-22 00:00:00.0","2014-03-05 13:58:40.55","2014-01-15 08:41:51.39","5300","","Animal Bite","2014-01-22 00:00:00.0","Animal Bite","565605","","","CLOSED","PERSHING","28"
"Dog","","2014-01-15 00:00:00.0","2014-01-28 13:42:14.923","2014-01-15 13:26:09.813","","45","Animal Bite","2014-01-22 00:00:00.0","Animal Bite","565952","-10052259.55295130","4671320.94484820","CLOSED","GRAND DR & LINDELL BLVD","10"
"Dog","","2014-01-31 00:00:00.0","2014-02-07 15:36:03.82","2014-01-21 08:40:41.357","4500","","Animal Bite","2014-01-28 00:00:00.0","Animal Bite","567146","","","CLOSED","BLAIR","03"
"Dog","","2014-01-23 00:00:00.0","2014-01-30 16:07:13.723","2014-01-21 16:34:52.88","1200","","Animal Bite","2014-01-28 00:00:00.0","Animal Bite","567435","","","CLOSED","MACKLIND","17"
"Dog","","2014-02-07 00:00:00.0","2014-02-07 10:59:03.843","2014-02-07 10:58:18.0","1200","41","Animal Bite","2014-02-14 00:00:00.0","Animal Bite","572358","","","CLOSED","MACKLIND AVE","04"
"Dog","","2014-02-19 00:00:00.0","2014-02-21 15:10:59.253","2014-02-18 10:51:07.703","6100","","Animal Bite","2014-02-25 00:00:00.0","Animal Bite","574567","","","CLOSED","LALITE","27"
"Dog","","2014-02-20 00:00:00.0","2014-03-03 13:27:06.143","2014-02-18 15:15:36.133","2700","59","Animal Bite","2014-02-25 00:00:00.0","Animal Bite","574745","","","CLOSED","PRAIRIE AVE","11"
"Dog","","2014-02-19 00:00:00.0","2014-03-19 16:12:47.26","2014-02-18 15:45:44.0","2100","","Animal Bite","2014-02-26 00:00:00.0","Animal Bite","574773","","","CLOSED","MAURY AVE","05"
"Dog","","2014-02-19 13:26:40.0","2014-05-08 13:26:51.51","2014-02-19 08:46:30.393","3800","","Animal Bite","2014-02-26 00:00:00.0","Animal Bite","574916","","","CLOSED","MICHIGAN","20"
"Dog","","2014-02-25 00:00:00.0","2014-03-03 13:35:39.157","2014-02-25 08:52:49.607","5500","","Animal Bite","2014-03-04 00:00:00.0","Animal Bite","577663","","","CLOSED","ROBIN","27"
"Dog","","2014-03-13 00:00:00.0","2014-04-03 10:52:21.68","2014-03-11 16:09:15.477","3900","","Animal Bite","2014-03-18 00:00:00.0","Animal Bite","582505","","","CLOSED","EILER","13"
"Dog","","2014-04-02 00:00:00.0","2014-04-14 14:26:55.217","2014-03-24 10:09:43.01","1700","73","Animal Bite","2014-03-31 00:00:00.0","Animal Bite","586586","","","CLOSED","GRAPE AVE","13"
"Dog","","2014-04-04 00:00:00.0","2014-04-10 15:39:38.877","2014-03-31 10:59:38.0","2100","63","Animal Bite","2014-04-07 00:00:00.0","Animal Bite","589089","","","CLOSED","KISLING","14"
"Dog","","2014-04-02 00:00:00.0","2014-04-04 13:22:53.273","2014-03-31 15:33:46.83","3600","","Animal Bite","2014-04-07 00:00:00.0","Animal Bite","589336","","","CLOSED","ILLINOIS","20"
"Cat","","2019-07-22 00:00:00.0","2019-07-25 06:44:40.88","2019-07-10 16:59:42.0","4200","05","Animal Bite","2019-07-17 00:00:00.0","Animal Bite","1242889","","","CLOSED","GERTRUDE AVE","01"
"Dog","2022-05-03 16:54:38.0","","","2019-07-11 08:40:39.0","4300","38","Animal Bite","2019-07-18 00:00:00.0","Animal Bite","1243031","","","CANCEL","MARYLAND AVE","09"
"Dog","2022-05-03 16:54:38.0","","","2019-07-11 11:34:15.0","3900","65","Animal Bite","2019-07-18 00:00:00.0","Animal Bite","1243223","","","CANCEL","N 21ST ST","14"
"Dog","2022-05-03 16:54:38.0","","","2019-07-12 11:33:53.0","5600","76","Animal Bite","2019-07-19 00:00:00.0","Animal Bite","1243728","","","CANCEL","GOODFELLOW BLVD","13"
"Dog","2022-05-03 16:54:38.0","","","2019-07-15 16:01:18.0","4000","27","Animal Bite","2019-07-22 00:00:00.0","Animal Bite","1244610","","","CANCEL","FLORA PL","06"
"Dog","","2020-05-06 09:07:17.0","2020-05-06 09:06:46.05","2019-07-17 08:47:10.0","3900","58","Animal Bite","2019-07-24 00:00:00.0","Animal Bite","1245296","","","CLOSED","PAGE BLVD","12"
"Cat","2022-05-03 16:54:38.0","","","2019-07-22 09:58:25.0","1200","41","Animal Bite","2019-07-29 00:00:00.0","Animal Bite","1247222","","","CANCEL","MACKLIND AVE","04"
